timestamp,user,image_file,true_region,prompt_type,selected_region,is_correct
2025-12-09 06:22:57,Terabarun,osaka_simple_006.png,osaka,simple,saitama,0
2025-12-09 06:23:06,Terabarun,shiga_complex_004.png,shiga,complex,shiga,1
2025-12-09 06:23:20,Terabarun,osaka_simple_001.png,osaka,simple,nara,0
2025-12-09 06:23:50,Terabarun,saitama_simple_008.png,saitama,simple,miyazaki,0
2025-12-09 06:24:02,Terabarun,miyazaki_complex_009.png,miyazaki,complex,saga,0
2025-12-09 06:24:08,Terabarun,shiga_simple_010.png,shiga,simple,nara,0
2025-12-09 06:24:10,Terabarun,saitama_simple_006.png,saitama,simple,saitama,1
2025-12-09 06:24:34,Terabarun,miyazaki_simple_009.png,miyazaki,simple,miyazaki,1
2025-12-09 06:24:36,Terabarun,saitama_simple_004.png,saitama,simple,saitama,1
2025-12-09 06:24:38,Terabarun,saitama_complex_001.png,saitama,complex,saitama,1
2025-12-09 06:24:48,Terabarun,osaka_simple_008.png,osaka,simple,saitama,0
2025-12-09 06:24:56,Terabarun,miyazaki_complex_005.png,miyazaki,complex,nara,0
2025-12-09 06:24:59,Terabarun,saga_complex_009.png,saga,complex,saga,1
2025-12-09 06:25:02,Terabarun,shiga_complex_010.png,shiga,complex,shiga,1
2025-12-09 06:25:11,Terabarun,miyazaki_complex_003.png,miyazaki,complex,miyazaki,1
2025-12-09 06:25:18,Terabarun,osaka_simple_009.png,osaka,simple,saitama,0
2025-12-09 06:25:21,Terabarun,nara_complex_005.png,nara,complex,shiga,0
2025-12-09 06:25:23,Terabarun,shiga_complex_009.png,shiga,complex,shiga,1
2025-12-09 06:25:35,Terabarun,osaka_complex_010.png,osaka,complex,osaka,1
2025-12-09 06:25:39,Terabarun,saga_simple_006.png,saga,simple,saitama,0
2025-12-09 06:25:47,Terabarun,nara_simple_002.png,nara,simple,osaka,0
2025-12-09 06:25:52,Terabarun,osaka_complex_003.png,osaka,complex,osaka,1
2025-12-09 06:25:53,Terabarun,osaka_complex_007.png,osaka,complex,osaka,1
2025-12-09 06:26:02,Terabarun,miyazaki_complex_001.png,miyazaki,complex,saga,0
2025-12-09 06:26:11,Terabarun,saga_complex_010.png,saga,complex,saga,1
2025-12-09 06:26:14,Terabarun,saitama_simple_005.png,saitama,simple,saitama,1
2025-12-09 06:26:28,Terabarun,miyazaki_simple_004.png,miyazaki,simple,saga,0
2025-12-09 06:26:30,Terabarun,saga_complex_007.png,saga,complex,saga,1
2025-12-09 06:26:31,Terabarun,saitama_complex_006.png,saitama,complex,saitama,1
2025-12-09 06:26:33,Terabarun,saga_simple_007.png,saga,simple,saitama,0
2025-12-09 06:26:47,Terabarun,nara_simple_009.png,nara,simple,miyazaki,0
2025-12-09 06:26:49,Terabarun,osaka_complex_009.png,osaka,complex,miyazaki,0
2025-12-09 06:26:51,Terabarun,shiga_complex_007.png,shiga,complex,shiga,1
2025-12-09 06:26:52,Terabarun,osaka_simple_004.png,osaka,simple,miyazaki,0
2025-12-09 06:26:55,Terabarun,miyazaki_complex_006.png,miyazaki,complex,saga,0
2025-12-09 06:26:57,Terabarun,nara_complex_003.png,nara,complex,shiga,0
2025-12-09 06:27:06,Terabarun,nara_simple_003.png,nara,simple,osaka,0
2025-12-09 06:27:12,Terabarun,miyazaki_simple_003.png,miyazaki,simple,nara,0
2025-12-09 06:27:14,Terabarun,osaka_complex_002.png,osaka,complex,osaka,1
2025-12-09 06:27:16,Terabarun,saga_simple_005.png,saga,simple,saitama,0
2025-12-09 06:27:19,Terabarun,miyazaki_complex_002.png,miyazaki,complex,saga,0
2025-12-09 06:27:23,Terabarun,nara_simple_008.png,nara,simple,nara,1
2025-12-09 06:27:25,Terabarun,miyazaki_complex_008.png,miyazaki,complex,saga,0
2025-12-09 06:27:28,Terabarun,nara_simple_001.png,nara,simple,nara,1
2025-12-09 06:27:39,Terabarun,miyazaki_simple_010.png,miyazaki,simple,saitama,0
2025-12-09 06:27:41,Terabarun,saga_complex_004.png,saga,complex,saga,1
2025-12-09 06:27:44,Terabarun,nara_simple_007.png,nara,simple,nara,1
2025-12-09 06:27:46,Terabarun,saga_complex_001.png,saga,complex,saga,1
2025-12-09 06:27:48,Terabarun,saitama_simple_002.png,saitama,simple,saitama,1
2025-12-09 06:27:49,Terabarun,shiga_complex_006.png,shiga,complex,shiga,1
2025-12-09 06:27:51,Terabarun,miyazaki_simple_006.png,miyazaki,simple,saitama,0
2025-12-09 06:27:53,Terabarun,saitama_complex_009.png,saitama,complex,saitama,1
2025-12-09 06:27:59,Terabarun,nara_complex_007.png,nara,complex,nara,1
2025-12-09 06:28:02,Terabarun,osaka_simple_002.png,osaka,simple,nara,0
2025-12-09 06:28:05,Terabarun,miyazaki_simple_008.png,miyazaki,simple,miyazaki,1
2025-12-09 06:28:06,Terabarun,saitama_complex_002.png,saitama,complex,saitama,1
2025-12-09 06:28:08,Terabarun,shiga_simple_007.png,shiga,simple,saitama,0
2025-12-09 06:28:10,Terabarun,shiga_simple_005.png,shiga,simple,saitama,0
2025-12-09 06:28:12,Terabarun,saitama_complex_008.png,saitama,complex,saitama,1
2025-12-09 06:28:13,Terabarun,saitama_complex_004.png,saitama,complex,saitama,1
2025-12-09 06:28:15,Terabarun,saitama_simple_003.png,saitama,simple,saitama,1
2025-12-09 06:28:18,Terabarun,saga_complex_003.png,saga,complex,saga,1
2025-12-09 06:28:20,Terabarun,nara_complex_004.png,nara,complex,shiga,0
2025-12-09 06:28:22,Terabarun,nara_simple_005.png,nara,simple,saitama,0
2025-12-09 06:28:25,Terabarun,miyazaki_complex_010.png,miyazaki,complex,saga,0
2025-12-09 06:28:29,Terabarun,osaka_simple_007.png,osaka,simple,osaka,1
2025-12-09 06:28:35,Terabarun,shiga_simple_001.png,shiga,simple,nara,0
